Demo_data_1	0V	120V	240V	360V
60.27	0	0	0	0
60.516	0	0	0	0
60.762	0	0	0	0
61.008	0	0	0	0
61.254	1.09807E-05	0	0	6.32188E-05
61.5	0	0	0	0
61.746	0	0	0	0
61.992	0	0	0	0
62.238	0	0	0	3.16094E-05
62.484	0	0	0	0
62.73	0	0	0	3.68776E-05
62.976	0	0	0	0
63.222	0	0	0	0
63.468	0	0	0	4.74141E-05
63.714	0	0	0	4.74141E-05
63.96	2.19615E-05	0	0	0
64.206	2.19615E-05	0	0	0
64.452	0	0	0	0
64.698	0	0	0	0
64.944	0	0	0	4.74141E-05
65.19	0	0	0	0
65.436	1.09807E-05	0	0	0
65.682	0	0	0	0
65.928	0	0	0	3.16094E-05
66.174	0	0	0	2.63412E-05
66.42	0	0	0	0
66.666	0	0	0	0
66.912	1.09807E-05	0	0	0
67.158	0	0	0	2.10729E-05
67.404	0	0	0	0
67.65	0	0	0	2.63412E-05
67.896	0	0	0.00014009	0
68.142	0	0	0	5.26823E-05
68.388	1.64711E-05	0	0.000116742	1.58047E-05
68.634	0	0	0	0
68.88	0	0	0	6.32188E-05
69.126	0	0	0	0
69.372	0	0	0	0
69.618	0	0	0	0.000105365
69.864	0	5.18367E-05	0	0
70.11	1.64711E-05	0	9.33936E-05	4.74141E-05
70.356	0	0.000190068	7.00452E-05	0
70.602	0	0	0	0
70.848	4.3923E-05	0	0	0
71.094	0	0	0	0.000110633
71.34	0	0	0	3.68776E-05
71.586	1.64711E-05	8.63946E-05	0	6.8487E-05
71.832	0	0	0	0
72.078	0	0	0	2.63412E-05
72.324	0	0	0	0.000184388
72.57	0	8.63946E-05	0	5.79506E-05
72.816	0	0	0.000326878	4.21459E-05
73.062	0	0	0	0
73.308	0	0	0	1.58047E-05
73.554	1.09807E-05	0.000259184	0	0.000105365
73.8	0	0	0	0.000131706
74.046	0	0.000276463	0	0
74.292	0	0	0	0.000242339
74.538	0	0	7.00452E-05	0.000126438
74.784	2.19615E-05	0	3.50226E-05	0.000163315
75.03	0	0	0	0.000458336
75.276	0.000258048	0	0	0.000479409
75.522	0.000538057	0.000190068	0	0.00026868
75.768	0.000269028	0.000898504	0.000431945	0.001943978
76.014	0.000115298	0.001572381	0.0010857	0.001511983
76.26	0.000642374	0.001105851	0.000817194	0.001917636
76.506	0.000554528	0.00143415	0.001424252	0.001285449
76.752	0.001570247	0.001676055	0.001062352	0.001601543
76.998	0.001575737	0.002332654	0.0010857	0.002697335
77.244	0.000938854	0.000846667	0.001505971	0.000727016
77.49	0.001076113	0.00015551	0.000898913	0.001269644
77.736	0.001092584	0.001347755	0.000957284	0.002539288
77.982	0.000746691	0.000863946	0.001295836	0.009066627
78.228	0.001092584	0.00542558	0.005195017	0.031008814
78.474	0.001169449	0.021166672	0.017277811	0.088811856
78.72	0.00161417	0.056778519	0.05419162	0.199982088
78.966	0.005929602	0.142188202	0.117430743	0.359883467
79.212	0.018678248	0.263538031	0.248368531	0.537396545
79.458	0.054200959	0.428327055	0.434525269	0.704652376
79.704	0.131642665	0.616788195	0.649167046	0.861313792
79.95	0.260622498	0.788125929	0.780781938	0.974838924
80.196	0.428924381	0.934115492	0.927374823	1
80.442	0.606620291	1	0.98111115	0.966662628
80.688	0.784195413	0.956543526	1	0.885026104
80.934	0.919340936	0.922123924	0.964276959	0.790677337
81.18	0.99483905	0.796540761	0.850231733	0.648835457
81.426	1	0.656011335	0.733618184	0.536843381
81.672	0.926280767	0.55404845	0.614354592	0.420699937
81.918	0.818702405	0.413363514	0.497670998	0.32727311
82.164	0.686719338	0.309983758	0.372044969	0.232587176
82.41	0.535640754	0.229723192	0.255536488	0.16687125
82.656	0.408840598	0.143000311	0.189413839	0.113572546
82.902	0.292510583	0.099595673	0.131007833	0.080851557
83.148	0.204181468	0.06472682	0.092261175	0.062997519
83.394	0.141091596	0.047292394	0.065795772	0.045522793
83.64	0.082372061	0.034194975	0.049556964	0.036450897
83.886	0.055897484	0.020199053	0.03827969	0.027421148
84.132	0.03844908	0.016466807	0.033750102	0.025456097
84.378	0.021297155	0.017866399	0.027399339	0.020235279
84.624	0.013868681	0.015222725	0.019729392	0.019192169
84.87	0.011507821	0.012682725	0.018024959	0.019055195
85.116	0.006698255	0.013961364	0.018783782	0.0195188
85.362	0.006989244	0.01259633	0.016168762	0.022237207
85.608	0.005468411	0.015222725	0.018503601	0.020630397
85.854	0.004524067	0.014894426	0.019507582	0.023206562
86.1	0.005133498	0.021270346	0.021819073	0.025450829
86.346	0.006879437	0.026695926	0.023219977	0.031072033
86.592	0.008158694	0.026091164	0.026617168	0.03233114
86.838	0.009613642	0.030808308	0.029967662	0.036630017
87.084	0.010354843	0.040190759	0.032652728	0.034970524
87.33	0.01709702	0.051093755	0.037252361	0.039711933
87.576	0.017761355	0.050402599	0.041058149	0.046123371
87.822	0.019699457	0.0583509	0.042260591	0.051839403
88.068	0.028335813	0.076390089	0.040906385	0.058730251
88.314	0.033277149	0.080865328	0.057588811	0.053114315
88.56	0.042067235	0.098092408	0.062526997	0.066337578
88.806	0.049726305	0.105937036	0.065200388	0.069630223
89.052	0.056907712	0.12261119	0.070815676	0.076916188
89.298	0.066433509	0.12722466	0.073068796	0.080108736
89.544	0.078325656	0.131717179	0.081275756	0.085176776
89.79	0.089075806	0.149030653	0.087159551	0.087652845
90.036	0.099134168	0.148408612	0.090510046	0.08763704
90.282	0.112047525	0.159207934	0.098565241	0.088148058
90.528	0.119887777	0.14844317	0.096709044	0.086030229
90.774	0.126031504	0.153782355	0.099756009	0.085450724
91.02	0.124159287	0.143898815	0.093370224	0.082416222
91.266	0.122726299	0.134792826	0.088361993	0.080092932
91.512	0.126201705	0.124701939	0.084859735	0.082579537
91.758	0.116944937	0.141151467	0.08362227	0.079139382
92.004	0.112629504	0.113453364	0.085034847	0.075983711
92.25	0.103592351	0.109790234	0.079186075	0.07661063
92.496	0.101385221	0.106213498	0.070745631	0.068950621
92.742	0.092501798	0.098800843	0.068609253	0.060026236
92.988	0.086292187	0.081487369	0.06865595	0.057244609
93.234	0.082092052	0.078549953	0.062130074	0.048336029
93.48	0.074971038	0.064001106	0.054028182	0.046249809
93.726	0.0671802	0.04862287	0.049498593	0.040070173
93.972	0.05967486	0.037823548	0.040556159	0.030655842
94.218	0.046728561	0.030238103	0.029407301	0.027062908
94.464	0.039964422	0.027214293	0.025846671	0.023090661
94.71	0.033315581	0.021322183	0.025508119	0.01725346
94.956	0.026606346	0.015395514	0.020546586	0.012222298
95.202	0.017525269	0.016622317	0.02164396	0.013455065
95.448	0.01370397	0.013754017	0.014686139	0.011695475
95.694	0.014494584	0.014220548	0.013495371	0.012596343
95.94	0.012424713	0.009278778	0.0145227	0.009145651
96.186	0.009706979	0.009848982	0.009829673	0.0099833
96.432	0.008971269	0.006496873	0.010763609	0.008876971
96.678	0.008301443	0.007222587	0.009479448	0.007343915
96.924	0.008021434	0.004561634	0.007249676	0.006569485
97.17	0.005375075	0.001900681	0.00595384	0.006469389
97.416	0.006808062	0.004267892	0.006012211	0.004604435
97.662	0.004644855	0.004406124	0.006385785	0.004420047
97.908	0.004919374	0.003784083	0.005685334	0.00399332
98.154	0.002130265	0.002902858	0.003397191	0.002454996
98.4	0.002849503	0.002125307	0.004202711	0.002992356
98.646	0.001531814	0.001520545	0.002101355	0.002470801
98.892	0.001405535	0.001883402	0.001622713	0.001828077
99.138	0.001306709	0.001261361	0.001494297	0.001348667
99.384	0.001081603	0.001520545	0.001937917	0.000590042
99.63	0.000543547	0.001382313	0.00080552	0.001185352
99.876	0.000966306	0.000259184	0.000548687	0.000658529
100.122	0.000285499	0	0.00050199	0.000753357
100.368	0.000378836	0.000241905	0.000338552	0.000363508
100.614	0.000499624	8.63946E-05	0.001284162	1.05365E-05
100.86	0.000323932	0.000120952	0	0.000431995
101.106	9.33363E-05	0.00031102	0.000256832	0.000284485
