adc_cytc_amac_7_trapping_combined	0V	120V	240V	360V
15.252	0	0	0	0
15.498	3.80639E-05	3.80639E-05	0	0
15.744	6.59775E-05	6.59775E-05	0	8.14289E-05
15.99	2.79135E-05	2.79135E-05	4.00091E-06	0.000141919
16.236	3.04511E-05	3.04511E-05	0.000112026	6.97962E-05
16.482	1.01504E-05	1.01504E-05	4.401E-05	1.39592E-05
16.728	1.2688E-05	1.2688E-05	0	1.62858E-05
16.974	1.2688E-05	1.2688E-05	1.80041E-05	4.65308E-05
17.22	0	0	4.401E-05	0
17.466	2.28384E-05	2.28384E-05	6.00137E-06	1.39592E-05
17.712	8.88158E-05	8.88158E-05	4.00091E-05	0
17.958	7.10526E-05	7.10526E-05	3.80087E-05	4.42042E-05
18.204	1.01504E-05	1.01504E-05	3.80087E-05	3.48981E-05
18.45	0	0	1.40032E-05	0
18.696	7.86654E-05	7.86654E-05	1.20027E-05	2.55919E-05
18.942	0	0	8.00182E-06	7.44493E-05
19.188	7.61278E-05	7.61278E-05	1.20027E-05	5.58369E-05
19.434	1.2688E-05	1.2688E-05	2.60059E-05	5.11839E-05
19.68	0	0	2.00046E-05	1.39592E-05
19.926	1.01504E-05	1.01504E-05	8.00182E-06	3.48981E-05
20.172	4.31391E-05	4.31391E-05	2.80064E-05	0
20.418	0	0	3.80087E-05	9.30616E-06
20.664	0	0	1.80041E-05	1.16327E-05
20.91	0	0	0	0
21.156	3.29887E-05	3.29887E-05	8.00182E-06	1.62858E-05
21.402	0	0	8.00182E-06	2.55919E-05
21.648	0	0	0	4.88573E-05
21.894	0	0	0	4.18777E-05
22.14	2.53759E-05	2.53759E-05	5.80132E-05	2.55919E-05
22.386	3.04511E-05	3.04511E-05	1.60036E-05	0
22.632	0.000101504	0.000101504	2.40055E-05	3.95512E-05
22.878	7.86654E-05	7.86654E-05	3.80087E-05	1.39592E-05
23.124	4.31391E-05	4.31391E-05	5.20119E-05	9.30616E-06
23.37	0.00041109	0.00041109	2.60059E-05	0.000367593
23.616	0.005651223	0.005651223	0.000180041	0.004483241
23.862	0.041550572	0.041550572	0.001956446	0.039125407
24.108	0.197843552	0.197843552	0.015191464	0.195564221
24.354	0.478425372	0.478425372	0.101957246	0.515465668
24.6	0.696950319	0.696950319	0.370946576	0.792782145
24.846	0.858841233	0.858841233	0.714985017	0.908306442
25.092	0.952369352	0.952369352	0.88368548	0.989509635
25.338	0.981851124	0.981851124	0.956344046	1
25.584	1	1	1	0.990142454
25.83	0.942805158	0.942805158	0.996153123	0.937558018
26.076	0.83688089	0.83688089	0.954845705	0.824786017
26.322	0.738328334	0.738328334	0.868662055	0.704969255
26.568	0.641699275	0.641699275	0.72754588	0.594742487
26.814	0.546496343	0.546496343	0.609632996	0.468229946
27.06	0.461197643	0.461197643	0.490385808	0.375919855
27.306	0.370204581	0.370204581	0.388788644	0.304792903
27.552	0.304775245	0.304775245	0.304107336	0.235678407
27.798	0.248724859	0.248724859	0.240406813	0.19345405
28.044	0.20363688	0.20363688	0.189293159	0.162483162
28.29	0.178156894	0.178156894	0.15692778	0.14100688
28.536	0.162365444	0.162365444	0.140099943	0.131486682
28.782	0.154425311	0.154425311	0.122882017	0.121624483
29.028	0.141349087	0.141349087	0.11903714	0.123520612
29.274	0.132992788	0.132992788	0.111627451	0.113816618
29.52	0.129612712	0.129612712	0.108632768	0.111162036
