adc_blac_8_spinning_combined	0V	120V	240V	360V
60.27	0	0	0	0
60.516	0	0	0	1.23779E-05
60.762	0	0	0	8.25193E-06
61.008	0	0	0	0
61.254	0	1.45843E-05	3.14604E-05	0
61.5	0	0	0	0
61.746	0	1.45843E-05	2.00202E-05	1.44409E-05
61.992	0	0	0	0
62.238	0	0	0	0
62.484	0	0	0	0.000160913
62.73	1.48416E-05	0	0	0.000354833
62.976	0	2.08347E-05	0.000168742	0.000466234
63.222	0	0.00015001	0.000308884	0.000216613
63.468	5.93664E-06	0.000447947	0.000420425	0
63.714	1.63258E-05	0.000135426	0	2.47558E-05
63.96	0.000111312	0	0	5.15746E-05
64.206	1.33574E-05	0	2.57403E-05	0
64.452	0	0	0	1.85668E-05
64.698	0	0	0	2.68188E-05
64.944	0	1.25008E-05	0	8.25193E-06
65.19	2.07782E-05	0	0	4.12597E-06
65.436	0	0	3.14604E-05	8.25193E-06
65.682	1.03891E-05	1.45843E-05	3.43204E-05	2.06298E-05
65.928	0	1.87513E-05	8.58011E-06	1.65039E-05
66.174	2.22624E-05	0	2.28803E-05	2.06298E-05
66.42	0	0	0	0
66.666	0	0	4.29005E-05	5.98265E-05
66.912	0	2.29182E-05	0	2.88818E-05
67.158	2.96832E-06	4.16694E-05	2.00202E-05	0.000115527
67.404	0	4.16694E-06	5.72007E-06	2.26928E-05
67.65	0	0	1.14401E-05	6.80784E-05
67.896	0	1.25008E-05	0.000100101	9.28342E-05
68.142	1.48416E-05	4.16694E-06	4.29005E-05	8.66453E-05
68.388	0	6.25042E-06	2.00202E-05	7.63304E-05
68.634	0	3.12521E-05	0	8.25193E-05
68.88	0	0	2.28803E-05	3.30077E-05
69.126	0	1.45843E-05	7.7221E-05	4.74486E-05
69.372	0	6.25042E-06	3.43204E-05	8.45823E-05
69.618	0	0	6.29208E-05	4.95116E-05
69.864	2.52307E-05	3.33356E-05	0.000102961	0.000101086
70.11	0	1.66678E-05	2.28803E-05	1.85668E-05
70.356	5.93664E-06	5.20868E-05	1.43002E-05	4.12597E-05
70.602	0	0	2.57403E-05	3.30077E-05
70.848	0	0	6.57808E-05	2.06298E-05
71.094	4.45248E-06	3.5419E-05	2.28803E-05	5.57005E-05
71.34	0	2.50017E-05	0	4.53856E-05
71.586	2.07782E-05	0.000100007	0	4.12597E-05
71.832	0	1.87513E-05	8.2941E-05	3.30077E-05
72.078	3.26515E-05	2.29182E-05	9.15211E-05	2.68188E-05
72.324	0	3.75025E-05	2.86004E-05	2.47558E-05
72.57	1.18733E-05	7.08381E-05	8.86611E-05	8.45823E-05
72.816	0	8.12554E-05	0.000171602	0.000272314
73.062	6.38189E-05	8.75058E-05	0.000148722	0.001456466
73.308	1.92941E-05	0.000104174	0.000386105	0.006298287
73.554	5.63981E-05	0.000520868	0.00322898	0.027928662
73.8	0.000267149	0.002225148	0.013170464	0.089298276
74.046	0.00050313	0.011421595	0.044433513	0.202983073
74.292	0.003370526	0.035414861	0.128941844	0.362759033
74.538	0.013488042	0.103556904	0.258976222	0.551693193
74.784	0.040373593	0.217624925	0.421760867	0.71117621
75.03	0.100698742	0.382169228	0.603496107	0.87086965
75.276	0.207994574	0.564070938	0.764927956	0.951441509
75.522	0.362261087	0.736384509	0.880161649	1
75.768	0.545415283	0.86590356	0.972071753	0.985152712
76.014	0.719884176	0.951459264	1	0.925132289
76.26	0.872841661	1	0.973936496	0.802345612
76.506	0.968791093	0.970318855	0.894910853	0.699330562
76.752	1	0.877425162	0.754074121	0.593284991
76.998	0.943511403	0.76930337	0.645061005	0.50401147
77.244	0.844626303	0.654510301	0.545345864	0.424419528
77.49	0.711856357	0.54670103	0.466300201	0.358379321
77.736	0.594692349	0.45519493	0.391598931	0.305012017
77.982	0.479206924	0.38179837	0.331332262	0.266527071
78.228	0.384168767	0.323321555	0.278012618	0.239450421
78.474	0.311894648	0.269276285	0.25478913	0.214907114
78.72	0.257414119	0.234505217	0.231170956	0.182611117
78.966	0.216889142	0.192939946	0.193584368	0.162414515
79.212	0.173778759	0.1625025	0.172688948	0.134050564
79.458	0.143718591	0.139048853	0.14710021	0.121990366
79.704	0.111907115	0.120487199	0.124428708	0.111260792
79.95	0.085564767	0.097519001	0.1141526	0.100846854
80.196	0.065813572	0.083572238	0.100147006	0.088929002
80.442	0.048860017	0.071419345	0.091372417	0.084728769
80.688	0.037592278	0.065904394	0.084871556	0.084662754
80.934	0.03013586	0.061491599	0.081013368	0.079911704
81.18	0.026835089	0.054307787	0.078304914	0.074436548
81.426	0.021680603	0.052282652	0.07637439	0.071756733
81.672	0.017602132	0.049372041	0.071844094	0.068342496
81.918	0.016125394	0.048380309	0.070926022	0.068901565
82.164	0.014549216	0.045600957	0.066936273	0.06115919
82.41	0.013646847	0.044446713	0.065020049	0.060699145
82.656	0.011524499	0.043746666	0.062503218	0.058033771
82.902	0.011919285	0.040473532	0.061447864	0.057540718
83.148	0.010395054	0.038558821	0.059986386	0.053685003
83.394	0.010881858	0.038898427	0.057369454	0.05126925
83.64	0.009599544	0.038469231	0.056394182	0.051838633
83.886	0.009595092	0.034514801	0.052930678	0.049121685
84.132	0.009948322	0.035596123	0.057203572	0.049074236
84.378	0.009109771	0.03639826	0.051371959	0.048036556
84.624	0.010334203	0.035783636	0.052985019	0.048643073
84.87	0.012164172	0.035296103	0.051789524	0.05413267
85.116	0.012404606	0.037477498	0.052458773	0.054840274
85.362	0.014794103	0.039290119	0.056342701	0.056356566
85.608	0.016181792	0.042115308	0.057992941	0.058887846
85.854	0.018888899	0.044911327	0.063378388	0.066277451
86.1	0.020833148	0.047359407	0.06674465	0.075340134
86.346	0.02554387	0.053511901	0.06994789	0.08733638
86.592	0.03025014	0.057533002	0.085763887	0.094558883
86.838	0.031596273	0.063127125	0.092676593	0.110532559
