Demo_data_4	5V	15V	25V	35V	45V
15.252	0	0	0	0	0
15.498	0	0	0	0	0
15.744	0	0	0	0	0
15.99	0	0	0	0	0
16.236	0	0	0	0	0
16.482	0	0	0	0	0
16.728	0	0	0	0	0
16.974	0	0	0	0	0
17.22	0	0	0	0	0
17.466	0	0	0	1.72242E-05	1.60956E-05
17.712	0	0	1.70693E-05	0	0
17.958	0	0	0	0	0
18.204	0	0	0	0	0
18.45	0	5.36629E-05	0	7.23417E-05	0
18.696	0.000292184	0	3.87938E-05	0.000258363	0
18.942	0.002681219	0.000639483	0.000616045	0.001632856	0.001690037
19.188	0.001521076	0.000460607	0.000422076	0.000888769	0.000750055
19.434	5.58587E-05	0	1.2414E-05	0	0
19.68	0	0	0	1.72242E-05	0
19.926	3.43746E-05	0	0	0	0
20.172	0	3.57753E-05	0	0	0
20.418	4.72651E-05	0	0	1.72242E-05	0
20.664	0	0	0	0	0
20.91	7.73428E-05	0	0	4.13381E-05	0
21.156	0	0	0	0	0
21.402	0	0	0	0	0
21.648	0	0	0	3.78933E-05	0
21.894	0	0	0	0	0
22.14	1.71873E-05	0	0	3.44484E-05	0
22.386	0	0	0	0	0
22.632	0	0	0	0	0
22.878	3.43746E-05	0	0	0	0
23.124	2.14841E-05	0	0	2.06691E-05	0
23.37	2.57809E-05	0	0	0	0
23.616	0	0	0	3.44484E-05	0
23.862	3.43746E-05	0	0	5.85623E-05	0
24.108	0	0	0	4.13381E-05	0
24.354	0	0	0	0	0
24.6	1.71873E-05	0	0	8.26762E-05	0
24.846	0	0	0	0.00011368	0
25.092	3.43746E-05	8.94382E-06	0	2.75587E-05	0
25.338	6.44524E-05	0	0	0	0
25.584	3.00778E-05	0	9.31051E-06	5.51175E-05	0
25.83	3.00778E-05	0	0	1.72242E-05	0
26.076	0.000146092	0	0	5.16726E-05	6.43824E-06
26.322	0.000107421	0	0	0	0
26.568	0	0	0	2.41139E-05	0
26.814	7.3046E-05	0	0	5.51175E-05	0
27.06	1.28905E-05	0	0	0	0
27.306	0.000124608	0	0	6.88969E-06	0
27.552	0	0	0	0	5.4725E-05
27.798	3.86714E-05	0	0	2.41139E-05	0
28.044	1.28905E-05	0	0	0	0
28.29	0.000107421	0	4.96561E-05	2.06691E-05	0
28.536	0.000124608	0	0	0	5.15059E-05
28.782	4.72651E-05	0	6.20701E-05	0.00010679	5.79441E-05
29.028	0.000103124	0.000415888	0.000313454	0	0.000170613
29.274	6.01555E-05	0.001475731	0.001377956	2.06691E-05	7.40397E-05
29.52	0	0.005992362	0.004344905	0.000124014	0.000923887
29.766	0.000167576	0.022417694	0.014800608	0.000124014	0.00281351
